"Year","Month","Day","Hour","Minute","power","wind_direction","wind_speed","temperature","pressure","air_density"
2010,1,9,7,0,1.058,23.04,5.339,256.823,96408.688,1.275
2010,1,9,8,0,0.824,24.642,5.006,258.403,96428.832,1.274
2010,1,9,9,0,0.524,23.802,4.39,259.837,96450.808,1.273
2010,1,9,10,0,0.312,22.053,3.92,261.283,96475.536,1.271
2010,1,9,11,0,0.169,14.454,3.443,262.699,96487.448,1.267
2010,1,9,12,0,0.199,5.095,3.547,264.228,96487.448,1.262
2010,1,9,13,0,0.445,3.061,4.245,265.573,96482.872,1.256
2010,1,9,14,0,0.565,0.742,4.498,266.315,96493.856,1.253
2010,1,9,15,0,0.654,358.182,4.685,266.544,96478.296,1.251
2010,1,9,16,0,0.875,1.659,5.109,266.123,96490.192,1.252
2010,1,9,17,0,1.455,5.269,5.936,264.542,96496.6,1.255
2010,1,9,18,0,1.854,10.488,6.37,263.186,96528.64,1.259
2010,1,9,19,0,1.453,15.617,5.925,261.305,96554.264,1.26
2010,1,9,20,0,1.412,19.194,5.865,261.052,96576.232,1.261
2010,1,9,21,0,1.417,16.52,5.87,260.74,96591.808,1.262
2010,1,9,22,0,0.754,24.579,4.881,260.621,96588.152,1.26
2010,1,9,23,0,0.577,30.66,4.517,260.594,96589.984,1.257
2010,1,10,0,0,0.054,30.434,3.064,260.698,96610.136,1.255
2010,1,10,1,0,0,23.037,1.84,260.738,96625.704,1.252
2010,1,10,2,0,0,22.004,0.436,260.949,96648.592,1.251
2010,1,10,3,0,0,187.953,0.882,261.089,96655.912,1.249
2010,1,10,4,0,0,213.79,1.794,261.208,96673.312,1.25
2010,1,10,5,0,0.033,221.304,2.838,261.19,96681.552,1.25
2010,1,10,6,0,0.278,215.984,3.826,261.128,96700.784,1.25
2010,1,10,7,0,0.61,218.619,4.595,261.22,96705.36,1.249
2010,1,10,8,0,0.703,221.35,4.791,263.782,96706.272,1.248
2010,1,10,9,0,1.385,216.678,5.852,266.29,96712.688,1.245
2010,1,10,10,0,1.157,207.633,5.522,267.538,96698.96,1.246
2010,1,10,11,0,0.829,203.474,5.056,268.731,96668.744,1.242
2010,1,10,12,0,0.832,202.498,5.065,269.672,96635.776,1.239
2010,1,10,13,0,1.063,205.196,5.404,270.654,96601.896,1.234
2010,1,10,14,0,1.443,207.152,5.959,271.475,96559.784,1.23
2010,1,10,15,0,1.824,203.934,6.392,271.576,96510.344,1.228
2010,1,10,16,0,2.854,197.814,7.375,270.899,96466.408,1.228
2010,1,10,17,0,4.716,195.364,8.705,269.209,96425.2,1.231
2010,1,10,18,0,6.102,198.313,9.624,268.39,96410.56,1.232
2010,1,10,19,0,7.311,198.335,10.676,268.491,96388.584,1.23
2010,1,10,20,0,7.748,199.434,11.302,268.732,96355.624,1.228
2010,1,10,21,0,7.967,205.256,12.522,269.052,96319.928,1.224
2010,1,10,22,0,7.995,206.449,13.194,269.156,96283.304,1.225
2010,1,10,23,0,7.996,209.019,13.554,269.18,96243.936,1.223
2010,1,11,0,0,7.999,211.832,14.112,269.394,96227.464,1.221
2010,1,11,1,0,8,215.309,14.585,269.528,96221.056,1.219
2010,1,11,2,0,8,219.512,15.226,269.818,96204.576,1.216
2010,1,11,3,0,8,223.595,16.016,270.278,96177.12,1.213
2010,1,11,4,0,8,227.177,16.272,270.312,96153.304,1.212
2010,1,11,5,0,8,231.104,16.083,270.702,96135.912,1.209
2010,1,11,6,0,8,235.729,15.531,271.134,96108.448,1.206
2010,1,11,7,0,8,242.233,14.933,271.862,96078.216,1.201
2010,1,11,8,0,7.997,248.826,13.756,272.622,96075.472,1.2
2010,1,11,9,0,7.992,252.182,13.227,274.211,96065.4,1.197
2010,1,11,10,0,7.716,251.847,11.262,275.786,96043.424,1.198
2010,1,11,11,0,3.951,255.323,8.29,276.718,96027.848,1.196
2010,1,11,12,0,2.383,261.446,7.042,278.094,96020.512,1.193
2010,1,11,13,0,2.58,261.867,7.237,279.132,96009.528,1.189
2010,1,11,14,0,2.373,273.815,7.045,279.7,96014.112,1.186
2010,1,11,15,0,2.327,276.282,6.997,279.441,96000.368,1.185
2010,1,11,16,0,2.492,278.372,7.165,278.311,96006.776,1.188
2010,1,11,17,0,2.775,290.571,7.391,276.648,96026,1.189
2010,1,11,18,0,3.326,308.911,7.825,275.06,96058.952,1.192
2010,1,11,19,0,3.496,321.364,7.954,273.609,96092.824,1.195
2010,1,11,20,0,4.303,335.34,8.516,273.584,96124.848,1.198
2010,1,11,21,0,3.629,355.739,8.041,270.922,96135.832,1.204
2010,1,11,22,0,2.534,7.451,7.162,270.562,96158.728,1.207
2010,1,11,23,0,3.31,13.217,7.776,272.062,96163.296,1.209
2010,1,12,0,0,3.563,18.363,7.972,271.714,96179.784,1.211
2010,1,12,1,0,3.403,19.636,7.844,271.413,96212.736,1.212
2010,1,12,2,0,3.587,23.678,7.99,271.245,96235.616,1.212
2010,1,12,3,0,4.583,23.646,8.661,271.034,96238.36,1.213
2010,1,12,4,0,5.029,30.232,8.941,270.378,96251.184,1.217
2010,1,12,5,0,2.825,30.579,7.378,270.256,96284.16,1.215
2010,1,12,6,0,1.492,39.448,6.056,268.735,96325.376,1.214
2010,1,12,7,0,0.921,42.958,5.232,268.572,96352.84,1.211
2010,1,12,8,0,0.756,41.529,4.948,269.604,96373.896,1.211
2010,1,12,9,0,0.294,40.854,3.925,272.865,96394.048,1.208
2010,1,12,10,0,0.011,58.352,2.316,273.921,96411.456,1.212
2010,1,12,11,0,0,64.894,1.416,275.318,96423.352,1.21
2010,1,12,12,0,0,27.059,1.226,276.411,96409.616,1.205
2010,1,12,13,0,0,31.996,1.165,277.473,96393.144,1.201
2010,1,12,14,0,0,12.804,0.936,278.086,96359.264,1.197
2010,1,12,15,0,0,42.635,0.693,278.352,96319.896,1.195
2010,1,12,16,0,0,91.295,0.983,277.708,96286.024,1.195
2010,1,12,17,0,0,164.999,1.972,272.845,96253.064,1.194
2010,1,12,18,0,0.692,190.808,4.836,272.198,96250.32,1.195
2010,1,12,19,0,0.624,192.497,4.694,273.557,96245.752,1.195
2010,1,12,20,0,0.57,193.842,4.578,273.44,96237.504,1.197
2010,1,12,21,0,0.839,186.254,5.136,273.987,96220.12,1.196
2010,1,12,22,0,1.751,188.011,6.375,274.012,96188.992,1.194
2010,1,12,23,0,4.323,189.225,8.544,274.149,96162.448,1.192
2010,1,13,0,0,5.216,190.714,9.129,274.326,96147.8,1.19
2010,1,13,1,0,6.803,190.786,10.218,274.405,96135.896,1.19
2010,1,13,2,0,7.515,192.135,11.048,274.881,96117.592,1.186
2010,1,13,3,0,7.817,190.905,11.728,274.853,96071.824,1.186
2010,1,13,4,0,7.9,191.987,12.082,274.951,96037.944,1.185
2010,1,13,5,0,7.96,189.879,12.479,274.505,96016.888,1.188
2010,1,13,6,0,7.974,189.522,12.817,274.109,96004.984,1.189
2010,1,13,7,0,7.983,188.303,13.037,273.92,95989.424,1.19
2010,1,13,8,0,7.995,187.177,13.342,274.126,95959.208,1.19
2010,1,13,9,0,7.996,188.23,13.537,275.265,95935.408,1.186
2010,1,13,10,0,7.997,187.193,13.826,276.034,95891.464,1.186
2010,1,13,11,0,7.966,184.313,12.625,277.456,95835.6,1.188
2010,1,13,12,0,7.945,182.239,12.277,278.711,95766.016,1.185
2010,1,13,13,0,7.961,183.304,12.515,279.657,95703.768,1.18
2010,1,13,14,0,7.966,182.55,12.665,280.097,95639.68,1.178
2010,1,13,15,0,7.995,186.54,13.498,279.953,95568.28,1.177
2010,1,13,16,0,8,189.197,14.666,279.141,95511.52,1.176
2010,1,13,17,0,8,182.983,15.198,277.6,95483.136,1.178
2010,1,13,18,0,8,178.392,15.586,277.148,95476.72,1.18
2010,1,13,19,0,8,179.102,15.998,276.834,95459.328,1.18
2010,1,13,20,0,8,179.85,16.181,276.651,95434.608,1.181
2010,1,13,21,0,8,180.021,16.285,277.112,95418.12,1.18
2010,1,13,22,0,8,178.592,16.111,277.276,95377.832,1.18
2010,1,13,23,0,8,179.45,16.593,277.389,95347.624,1.178
2010,1,14,0,0,8,184.504,16.007,277.334,95326.56,1.176
2010,1,14,1,0,8,187.988,16.401,277.517,95327.48,1.176
2010,1,14,2,0,8,187.751,15.741,277.585,95330.216,1.177
2010,1,14,3,0,8,192.003,15.292,277.597,95335.72,1.177
2010,1,14,4,0,8,193.167,14.416,277.664,95335.712,1.177
2010,1,14,5,0,7.997,191.496,13.834,277.765,95324.728,1.176
2010,1,14,6,0,7.92,185.802,12.204,278.329,95363.168,1.176
2010,1,14,7,0,7.897,184.953,12.106,278.356,95375.08,1.175
2010,1,14,8,0,7.99,186.599,13.266,278.091,95355.864,1.174
2010,1,14,9,0,7.973,183.247,12.842,278.148,95364.104,1.174
2010,1,14,10,0,7.986,187.48,13.171,277.407,95360.456,1.17
2010,1,14,11,0,7.989,186.834,13.266,278.307,95336.648,1.168
2010,1,14,12,0,7.964,183.593,12.65,278.314,95326.568,1.167
2010,1,14,13,0,7.956,184.686,12.451,278.747,95326.568,1.165
2010,1,14,14,0,7.802,186.032,11.737,279.299,95320.168,1.163
2010,1,14,15,0,7.954,183.59,12.408,279.129,95314.672,1.165
2010,1,14,16,0,7.665,186.363,11.283,279.65,95351.28,1.168
2010,1,14,17,0,7.426,183.303,10.993,279.171,95366.84,1.17
2010,1,14,18,0,6.565,183.011,10.111,279.446,95416.28,1.17
2010,1,14,19,0,6.918,186.803,10.395,279.327,95451.072,1.169
2010,1,14,20,0,6.124,180.601,9.81,279.592,95465.72,1.168
2010,1,14,21,0,6.745,180.691,10.234,279.492,95484.944,1.17
2010,1,14,22,0,6.896,177.187,10.359,279.071,95504.168,1.172
2010,1,14,23,0,7.254,181.248,10.789,279.452,95517.904,1.17
2010,1,15,0,0,6.173,179.278,9.846,279.985,95534.384,1.168
2010,1,15,1,0,2.43,178.97,7.143,280.363,95577.4,1.167
2010,1,15,2,0,2.42,178.192,7.134,280.646,95596.624,1.166
2010,1,15,3,0,1.557,171.081,6.225,281.069,95618.592,1.164
2010,1,15,4,0,0.654,172.742,4.797,280.895,95657.952,1.165
2010,1,15,5,0,0,143.344,0.623,280.331,95668.024,1.167
2010,1,15,6,0,0,118.357,1.59,280.006,95699.152,1.168
2010,1,15,7,0,0,134.948,2.059,280.501,95719.296,1.167
2010,1,15,8,0,0,123.769,1.065,280.353,95735.776,1.165
2010,1,15,9,0,0,84.184,1.937,280.888,95746.76,1.166
2010,1,15,10,0,0.303,103.098,4.003,281.055,95767.824,1.168
2010,1,15,11,0,0.07,89.801,3.192,281.119,95760.496,1.169
2010,1,15,12,0,0.035,59.313,2.933,282.389,95737.6,1.171
2010,1,15,13,0,0.017,64.984,2.481,281.852,95727.528,1.171
