"Year","Month","Day","Hour","Minute","power","wind_direction","wind_speed","temperature","pressure","air_density"
2017,1,1,1,0,0.0052,190,3.6,16.7,1008.7,-9999
2017,1,1,2,0,0,210,2.6,12.8,1009.5,-9999
2017,1,1,3,0,0.1031,40,5.7,12.8,1010.2,-9999
2017,1,1,4,0,0.1909,30,6.2,11.1,1011.0,-9999
2017,1,1,5,0,0,70,2.1,8.9,1012.1,-9999
2017,1,1,6,0,0,70,2.1,8.3,1012.0,-9999
2017,1,1,7,0,0,280,2.1,7.2,1012.3,-9999
2017,1,1,8,0,0,80,2.1,8.3,1011.7,-9999
2017,1,1,9,0,0.0423,50,4.1,7.2,1010.2,-9999
2017,1,1,10,0,0,170,2.6,7.2,1011.1,-9999
2017,1,1,11,0,0.0052,210,3.1,7.2,1011.7,-9999
2017,1,1,12,0,0,260,2.1,7.2,1011.6,-9999
2017,1,1,13,0,0.0052,300,3.1,6.7,1012.4,-9999
2017,1,1,14,0,0,230,1.5,5.6,1012.6,-9999
2017,1,1,15,0,0,260,2.6,8.9,1012.8,-9999
2017,1,1,16,0,0,140,2.1,11.7,1012.7,-9999
2017,1,1,17,0,0,0,0.0,16.7,1012.2,-9999
2017,1,1,18,0,0,0,0.0,20.6,1011.1,-9999
2017,1,1,19,0,0,270,2.1,22.2,1009.4,-9999
2017,1,1,20,0,0.0052,190,3.6,23.3,1007.7,-9999
2017,1,1,21,0,0.0423,170,4.1,23.9,1007.0,-9999
2017,1,1,22,0,0.1031,170,5.1,23.9,1006.2,-9999
2017,1,1,23,0,0.1031,180,5.1,22.8,1006.4,-9999
2017,1,2,0,0,0,190,2.6,20.0,1006.4,-9999
2017,1,2,1,0,0,200,2.6,15.6,1007.1,-9999
2017,1,2,2,0,0,160,2.6,13.3,1007.5,-9999
2017,1,2,3,0,0.0052,160,3.1,10.0,1007.2,-9999
2017,1,2,4,0,0.0052,160,3.1,11.7,1006.7,-9999
2017,1,2,5,0,0.0052,190,3.1,10.0,1006.7,-9999
2017,1,2,6,0,0.8554,300,10.8,13.3,1009.8,-9999
2017,1,2,7,0,0.0423,240,4.6,10.6,1010.2,-9999
2017,1,2,8,0,0,110,1.5,10.6,-9999.0,-9999
2017,1,2,9,0,0,180,2.1,10.0,1008.6,-9999
2017,1,2,10,0,0,190,2.1,8.9,1009.0,-9999
2017,1,2,11,0,0,200,2.6,8.3,1009.4,-9999
2017,1,2,12,0,0.0052,230,3.6,6.1,1010.3,-9999
2017,1,2,13,0,0.1031,260,5.7,8.9,1011.8,-9999
2017,1,2,14,0,0.0423,250,4.1,8.3,1012.5,-9999
2017,1,2,15,0,0.3127,260,7.7,10.6,1013.9,-9999
2017,1,2,16,0,0.4731,280,8.2,12.8,1014.2,-9999
2017,1,2,17,0,0.4731,290,8.8,15.0,1014.3,-9999
2017,1,2,18,0,0.3127,270,7.2,16.7,1013.7,-9999
2017,1,2,19,0,0.1909,280,6.2,18.9,1012.0,-9999
2017,1,2,20,0,0.3127,270,7.2,19.4,1011.4,-9999
2017,1,2,21,0,0.1909,250,6.2,20.0,1011.2,-9999
2017,1,2,22,0,0.1031,270,5.7,20.0,1011.2,-9999
2017,1,2,23,0,0.0423,270,4.6,19.4,1012.1,-9999
2017,1,3,0,0,0,240,2.1,16.7,1012.7,-9999
2017,1,3,1,0,0.0052,230,3.1,12.2,1013.6,-9999
2017,1,3,2,0,0.0423,220,4.1,8.9,1014.3,-9999
2017,1,3,3,0,0.0423,220,4.1,9.4,1014.5,-9999
2017,1,3,4,0,0.0423,220,4.1,11.1,1014.7,-9999
2017,1,3,5,0,0.0423,220,4.1,7.8,1015.5,-9999
2017,1,3,6,0,0.0052,240,3.1,8.3,1015.5,-9999
2017,1,3,7,0,0.0052,230,3.1,8.9,1014.8,-9999
