Year,Month,Day,Hour,Minute,Forecast
2017,5,14,0,0,4.566333333
2017,5,14,1,0,3.71
2017,5,14,2,0,3.321
2017,5,14,3,0,3.649166667
2017,5,14,4,0,4.592083333
2017,5,14,5,0,4.434083333
2017,5,14,6,0,4.41725
2017,5,14,7,0,4.943
2017,5,14,8,0,4.586333333
2017,5,14,9,0,2.419666667
2017,5,14,10,0,4.3325
2017,5,14,11,0,4.96525
2017,5,14,12,0,3.985833333
2017,5,14,13,0,5.358583333
2017,5,14,14,0,3.002416667
2017,5,14,15,0,3.714333333
2017,5,14,16,0,3.22475
2017,5,14,17,0,4.136916667
2017,5,14,18,0,3.777083333
2017,5,14,19,0,4.340166667
2017,5,14,20,0,3.84325
2017,5,14,21,0,5.178083333
2017,5,14,22,0,3.982083333
2017,5,14,23,0,4.287416667
2017,5,14,24,0,5.178416667
