Year,Month,Day,Hour,Minute,Forecast,CI 0,CI 0.1,CI 0.2,CI 0.3,CI 0.4,CI 0.5,CI 0.6,CI 0.7,CI 0.8,CI 0.9,CI 1
2017,5,14,0,0,4.566333333,0.1,3.566333333,3.566333333,3.566333333,4.566333333,4.566333333,4.566333333,5.566333333,5.566333333,5.566333333,100
2017,5,14,1,0,3.71,0.1,2.71,2.71,2.71,3.71,3.71,3.71,4.71,4.71,4.71,100
2017,5,14,2,0,3.321,0.1,2.321,2.321,2.321,3.321,3.321,3.321,4.321,4.321,4.321,100
2017,5,14,3,0,3.649166667,0.1,2.649166667,2.649166667,2.649166667,3.649166667,3.649166667,3.649166667,4.649166667,4.649166667,4.649166667,100
2017,5,14,4,0,4.592083333,0.1,3.592083333,3.592083333,3.592083333,4.592083333,4.592083333,4.592083333,5.592083333,5.592083333,5.592083333,100
2017,5,14,5,0,4.434083333,0.1,3.434083333,3.434083333,3.434083333,4.434083333,4.434083333,4.434083333,5.434083333,5.434083333,5.434083333,100
2017,5,14,6,0,4.41725,0.1,3.41725,3.41725,3.41725,4.41725,4.41725,4.41725,5.41725,5.41725,5.41725,100
2017,5,14,7,0,4.943,0.1,3.943,3.943,3.943,4.943,4.943,4.943,5.943,5.943,5.943,100
2017,5,14,8,0,4.586333333,0.1,3.586333333,3.586333333,3.586333333,4.586333333,4.586333333,4.586333333,5.586333333,5.586333333,5.586333333,100
2017,5,14,9,0,2.419666667,0.1,1.419666667,1.419666667,1.419666667,2.419666667,2.419666667,2.419666667,3.419666667,3.419666667,3.419666667,100
2017,5,14,10,0,4.3325,0.1,3.3325,3.3325,3.3325,4.3325,4.3325,4.3325,5.3325,5.3325,5.3325,100
2017,5,14,11,0,4.96525,0.1,3.96525,3.96525,3.96525,4.96525,4.96525,4.96525,5.96525,5.96525,5.96525,100
2017,5,14,12,0,3.985833333,0.1,2.985833333,2.985833333,2.985833333,3.985833333,3.985833333,3.985833333,4.985833333,4.985833333,4.985833333,100
2017,5,14,13,0,5.358583333,0.1,4.358583333,4.358583333,4.358583333,5.358583333,5.358583333,5.358583333,6.358583333,6.358583333,6.358583333,100
2017,5,14,14,0,3.002416667,0.1,2.002416667,2.002416667,2.002416667,3.002416667,3.002416667,3.002416667,4.002416667,4.002416667,4.002416667,100
2017,5,14,15,0,3.714333333,0.1,2.714333333,2.714333333,2.714333333,3.714333333,3.714333333,3.714333333,4.714333333,4.714333333,4.714333333,100
2017,5,14,16,0,3.22475,0.1,2.22475,2.22475,2.22475,3.22475,3.22475,3.22475,4.22475,4.22475,4.22475,100
2017,5,14,17,0,4.136916667,0.1,3.136916667,3.136916667,3.136916667,4.136916667,4.136916667,4.136916667,5.136916667,5.136916667,5.136916667,100
2017,5,14,18,0,3.777083333,0.1,2.777083333,2.777083333,2.777083333,3.777083333,3.777083333,3.777083333,4.777083333,4.777083333,4.777083333,100
2017,5,14,19,0,4.340166667,0.1,3.340166667,3.340166667,3.340166667,4.340166667,4.340166667,4.340166667,5.340166667,5.340166667,5.340166667,100
2017,5,14,20,0,3.84325,0.1,2.84325,2.84325,2.84325,3.84325,3.84325,3.84325,4.84325,4.84325,4.84325,100
2017,5,14,21,0,5.178083333,0.1,4.178083333,4.178083333,4.178083333,5.178083333,5.178083333,5.178083333,6.178083333,6.178083333,6.178083333,100
2017,5,14,22,0,3.982083333,0.1,2.982083333,2.982083333,2.982083333,3.982083333,3.982083333,3.982083333,4.982083333,4.982083333,4.982083333,100
2017,5,14,23,0,4.287416667,0.1,3.287416667,3.287416667,3.287416667,4.287416667,4.287416667,4.287416667,5.287416667,5.287416667,5.287416667,100
2017,5,14,24,0,5.178416667,0.1,4.178416667,4.178416667,4.178416667,5.178416667,5.178416667,5.178416667,6.178416667,6.178416667,6.178416667,100
